n,s,t,ddgfact_gap,ddgfact_plus_gap,ddgfact_plus_upsilon_bfgs_gap,spec_gap,ddgfact_runtime,ddgfact_plus_runtime,ddgfact_plus_upsilon_bfgs_runtime,local_search_runtime,spectral_runtime,n_fixed_ddgfact,n_fixed_ddgfact_plus,n_fixed_ddgfact_upsilon_bfgs,n_fixed_ddgfact_plus_upsilon_bfgs,z_ls,z_ddgfact,z_ddgfact_plus,z_ddgfact_plus_upsilon_bfgs,z_spec,psi_ddgfact_plus,psi_upsilon_bfgs,lambda_min_upsilon_bfgs,feasibility_slack_upsilon_bfgs,gamma_min_upsilon_bfgs,gamma_max_upsilon_bfgs,theta_norm_upsilon_bfgs
63,51,51,0.40678581661489943,0.10838883965209334,0.03168247903690258,2.318404960991188,0.115036,0.0489094,31.083779,2.0641871,0.0001572,0.0,31.0,0.0,2.0,-118.84478563634809,-118.4379998197332,-118.736396796696,-118.81310315731119,-116.5263806753569,0.031745640422217065,0.0379484916779118,0.0379485916779118,1.0000000000287557e-7,0.828710596197772,1.426247347122772,0.813370079709418
63,52,52,0.3513786880621268,0.07514599730930627,0.023960586210577617,2.0923020927231875,0.0782765,0.047593,20.3760714,1.6320452,0.0006068,0.0,36.0,0.0,9.0,-121.69553699307774,-121.34415830501561,-121.62039099576843,-121.67157640686716,-119.60323490035455,0.031745640422217065,0.03767623265887651,0.037676332658876516,1.0000000000287557e-7,0.8068741587271934,1.3703509939781677,0.6915124109361837
63,53,53,0.2949527428771006,0.043632139231306155,0.021027047192276882,1.8639987804195925,0.0993497,0.0498105,18.2205975,1.6126049,0.0004392,0.0,40.0,0.0,18.0,-124.56972114136101,-124.27476839848391,-124.52608900212971,-124.54869409416874,-122.70572236094142,0.031745640422217065,0.037153815010313146,0.03715391501031315,1.0000000000287557e-7,0.8001547010155284,1.2619442617980807,0.6333772633135875
63,54,54,0.2606701011277721,0.03554700239651254,0.02507941462471308,1.6734158494640496,0.0834593,0.0468487,30.8633768,0.7493657,0.0006201,0.0,43.0,0.0,39.0,-127.48694732015748,-127.22627721902971,-127.45140031776097,-127.46186790553277,-125.81353147069343,0.031745640422217065,0.03212606415409639,0.032126164154096394,1.0000000000287557e-7,0.8474543515692629,1.1564593749229726,0.37965029361912855
63,55,55,0.21422141030168973,0.017138315616762156,0.010511943513080269,1.4855547118943946,0.0879112,0.0437754,17.2747611,0.6807933,0.000298,0.0,51.0,0.0,45.0,-130.4147393824695,-130.2005179721678,-130.39760106685273,-130.4042274389564,-128.9291846705751,0.031745640422217065,0.03150338081338871,0.03150348081338871,1.0000000000287557e-7,0.8636397296592365,1.0606372652062104,0.2200168520614722
63,56,56,0.18463580644552735,0.010094861042119874,0.0012016428831884696,1.313237881544893,0.1121313,0.082305,11.3289422,1.2928626,0.0001346,0.0,56.0,0.0,48.0,-133.38503395750263,-133.2003981510571,-133.3749390964605,-133.38383231461944,-132.07179607595774,0.031745640422217065,0.03329249347073259,0.033292593470732594,1.0000000000287557e-7,0.8418216145196199,1.138231910750058,0.3013124893024393
63,57,57,0.18132698639416844,0.025959983309633117,0.007529105098740274,1.1850433899084578,0.0794888,0.0461939,10.088566,1.6025576,0.000131,0.0,56.0,0.0,49.0,-136.40933617317089,-136.22800918677672,-136.38337618986125,-136.40180706807215,-135.22429278326243,0.031745640422217065,0.03312127345243513,0.033121373452435134,1.0000000000287557e-7,0.8429207467918894,1.1730326166098506,0.3459241622608624
63,58,58,0.16692176040027107,0.027454733266722542,0.008820778620901137,1.0372853136509264,0.0925662,0.040245,4.2783843,0.7889208,0.0006143,0.0,56.0,0.0,54.0,-139.45149040288078,-139.2845686424805,-139.42403566961406,-139.44266962425988,-138.41420508922985,0.031745640422217065,0.0332399929173308,0.0332400929173308,1.0000000000287557e-7,0.8706945347243312,1.2028120173228454,0.337119091119656
63,59,59,0.13357285666160124,0.011726835127518598,0.001399027451583379,0.8298586488792523,0.0942186,0.0441472,2.04635,0.5463978,0.0002829,0.0,57.0,0.0,56.0,-142.51243485621842,-142.37886199955682,-142.5007080210909,-142.51103582876684,-141.68257620733917,0.031745640422217065,0.03332114992526112,0.03332124992526112,1.0000000000287557e-7,0.8818915478651792,1.2263626870115558,0.29983159903113255
63,60,60,0.12027646744428466,0.0003591512309242262,7.57331264367167e-7,0.6113532790205625,0.0985673,0.0280171,0.4690379,0.3813247,0.0003808,0.0,61.0,0.0,59.0,-145.6333660269251,-145.51308955948082,-145.63300687569418,-145.63336526959384,-145.02201274790454,0.031745640422217065,0.032144538571252684,0.03214463857125269,1.0000000000287557e-7,0.9124380096480414,1.0452640594244547,0.10562212408966061
63,61,61,0.12989135287654108,0.01059150409238896,0.002008071837622083,0.4203835247559766,0.0781605,0.0230535,1.7630168,0.4188226,0.0006647,0.0,61.0,0.0,61.0,-148.82760575809075,-148.6977144052142,-148.81701425399837,-148.82559768625313,-148.40722223333478,0.031745640422217065,0.030306489002444568,0.030306589002444567,9.999999999940612e-8,0.8429490314141093,1.1075411474407453,0.2385162629478962
